Scrip Name,WACC Rate
ACLBSL,808.8408
ADBL,361.9446
AHPC,267.6184
AKPL,264.8816
BNHC,518.4861
CKHL,100.0
GBIME,388.8352
GLH,256.0048
HRL,206.0
ILI,214.0917
JBLB,2268.6371
KMCDB,1085.4318
KSBBL,495.9957
MEL,100.0
MLBL,487.4685
NABIL,492.1879
NHPC,254.879
NLIC,778.7163
NMB,345.3554
PCBL,240.521
PHCL,100.0
RHGCL,100.0
SCB,522.7831
SGHC,100.0
SICL,849.1169
SMFBS,1640.2519
SMJC,100.0
SONA,237.58
SWBBL,967.4799
UMHL,452.9379
